iter	Passed	Remaining
144	823	4857
145	828	4848
146	834	4844
147	840	4837
148	845	4828
149	850	4819
150	855	4811
151	860	4803
152	866	4794
153	870	4784
154	876	4777
155	881	4771
156	887	4762
157	891	4753
158	897	4745
159	902	4735
160	906	4725
161	911	4717
162	917	4711
163	922	4702
164	927	4695
165	933	4689
166	938	4680
167	943	4670
168	948	4663
169	953	4657
170	959	4649
171	964	4642
172	969	4635
173	974	4627
174	980	4620
175	984	4610
176	989	4600
177	994	4593
178	999	4586
179	1004	4576
180	1008	4561
181	1013	4553
182	1018	4545
183	1023	4539
184	1028	4531
185	1033	4523
186	1038	4516
187	1044	4511
188	1049	4504
189	1054	4496
190	1059	4489
191	1065	4482
192	1069	4473
193	1074	4466
194	1079	4457
195	1085	4452
196	1091	4450
197	1096	4441
198	1101	4433
199	1106	4426
200	1111	4418
201	1116	4411
202	1121	4403
203	1126	4395
204	1131	4386
205	1136	4379
206	1141	4372
207	1146	4366
208	1151	4359
209	1156	4351
210	1161	4343
211	1166	4335
212	1171	4327
213	1176	4321
214	1181	4315
215	1187	4308
216	1192	4302
217	1197	4295
218	1202	4288
219	1208	4283
220	1213	4277
221	1218	4269
222	1223	4264
223	1229	4258
224	1234	4252
225	1239	4246
226	1245	4240
227	1250	4234
228	1256	4230
229	1261	4224
230	1266	4217
231	1272	4211
232	1277	4206
233	1282	4199
234	1288	4193
235	1293	4187
236	1298	4181
237	1304	4176
238	1309	4170
239	1315	4164
240	1320	4158
241	1325	4152
242	1331	4146
243	1336	4140
244	1341	4133
245	1346	4126
246	1351	4121
247	1357	4115
248	1362	4108
249	1367	4102
250	1372	4097
251	1377	4089
252	1382	4082
253	1388	4077
254	1393	4070
255	1398	4064
256	1402	4055
257	1408	4049
258	1413	4044
259	1419	4038
260	1424	4032
261	1429	4025
262	1434	4020
263	1439	4013
264	1445	4009
265	1451	4004
266	1456	3998
267	1461	3991
268	1466	3984
269	1471	3978
270	1476	3971
271	1481	3964
272	1486	3957
273	1491	3951
274	1496	3945
275	1501	3938
276	1506	3932
277	1511	3926
278	1517	3921
279	1523	3916
280	1528	3911
281	1533	3905
282	1539	3899
283	1543	3891
284	1548	3885
285	1554	3879
286	1558	3872
287	1563	3866
288	1569	3861
289	1574	3855
290	1580	3849
291	1585	3843
292	1590	3837
293	1595	3831
294	1601	3826
295	1606	3821
296	1612	3816
297	1617	3810
298	1622	3804
299	1628	3798
300	1633	3792
301	1638	3786
302	1643	3780
303	1648	3774
304	1654	3769
305	1659	3764
306	1664	3757
307	1669	3751
308	1675	3745
309	1680	3739
310	1685	3733
311	1689	3726
312	1694	3719
313	1699	3713
314	1704	3707
315	1709	3700
316	1714	3694
317	1719	3688
318	1724	3682
319	1729	3676
320	1735	3670
321	1741	3666
322	1746	3661
323	1752	3656
324	1757	3650
325	1763	3645
326	1768	3640
327	1773	3633
328	1778	3627
329	1784	3622
330	1788	3615
331	1794	3610
332	1799	3604
333	1804	3598
334	1810	3593
335	1815	3586
336	1820	3580
337	1825	3574
338	1830	3569
339	1835	3563
340	1841	3559
341	1846	3553
342	1852	3548
343	1857	3542
344	1863	3537
345	1868	3532
346	1874	3527
347	1879	3521
348	1884	3515
349	1890	3510
350	1895	3504
351	1900	3498
352	1905	3493
353	1911	3487
354	1915	3481
355	1921	3475
356	1926	3469
357	1931	3463
358	1935	3456
359	1941	3450
360	1946	3444
361	1950	3438
362	1955	3432
363	1960	3425
364	1966	3420
365	1971	3414
366	1976	3409
367	1981	3402
368	1986	3396
369	1991	3390
370	1996	3384
371	2001	3378
372	2006	3373
373	2012	3368
374	2017	3362
375	2023	3357
376	2028	3351
377	2033	3345
378	2038	3339
379	2043	3333
380	2048	3328
381	2053	3322
382	2058	3316
383	2063	3310
384	2069	3305
385	2075	3300
386	2080	3295
387	2085	3289
388	2090	3283
389	2095	3278
390	2100	3271
391	2105	3266
392	2111	3260
393	2116	3254
394	2120	3248
395	2125	3242
396	2131	3237
397	2136	3232
398	2141	3226
399	2147	3220
400	2152	3215
401	2157	3209
402	2162	3203
403	2167	3196
404	2172	3191
405	2176	3185
406	2182	3179
407	2186	3173
408	2192	3167
409	2197	3161
410	2202	3156
411	2207	3150
412	2212	3145
413	2217	3139
414	2222	3133
415	2228	3127
416	2233	3122
417	2239	3117
418	2244	3112
419	2249	3106
420	2255	3102
421	2260	3096
422	2266	3091
423	2271	3085
424	2276	3080
425	2281	3074
426	2287	3068
427	2291	3062
428	2297	3057
429	2302	3052
430	2307	3046
431	2312	3040
432	2317	3034
433	2322	3029
434	2327	3023
435	2332	3017
436	2337	3012
437	2343	3006
438	2348	3000
439	2353	2995
440	2358	2989
441	2363	2983
442	2368	2978
443	2373	2972
444	2379	2967
445	2385	2962
446	2390	2956
447	2395	2951
448	2401	2946
449	2405	2940
450	2411	2935
451	2416	2929
452	2421	2924
453	2426	2917
454	2431	2912
455	2436	2906
456	2441	2900
457	2446	2895
458	2451	2889
459	2456	2884
460	2461	2878
461	2466	2872
462	2471	2866
463	2476	2861
464	2482	2855
465	2487	2850
466	2492	2845
467	2498	2840
468	2504	2835
469	2509	2830
470	2515	2825
471	2520	2819
472	2525	2813
473	2531	2808
474	2536	2803
475	2542	2798
476	2547	2792
477	2552	2787
478	2557	2781
479	2562	2776
480	2567	2770
481	2573	2765
482	2578	2760
483	2584	2755
484	2589	2749
485	2595	2745
486	2600	2739
487	2606	2734
488	2611	2728
489	2616	2723
490	2621	2718
491	2627	2712
492	2632	2707
493	2637	2701
494	2642	2696
495	2648	2690
496	2653	2685
497	2658	2679
498	2663	2674
499	2668	2668
500	2673	2663
501	2678	2657
502	2684	2652
503	2689	2646
504	2694	2640
505	2699	2635
506	2704	2629
507	2709	2623
508	2714	2618
509	2720	2613
510	2725	2608
511	2731	2603
512	2737	2598
513	2743	2593
514	2748	2588
515	2753	2582
516	2758	2577
517	2763	2571
518	2768	2566
519	2774	2560
520	2779	2555
521	2784	2549
522	2788	2543
523	2794	2538
524	2799	2532
525	2804	2527
526	2809	2521
527	2815	2516
528	2820	2511
529	2825	2505
530	2830	2500
531	2836	2495
532	2841	2489
533	2846	2483
534	2851	2478
535	2857	2473
536	2862	2468
537	2868	2462
538	2873	2457
539	2879	2452
540	2884	2447
541	2890	2442
542	2895	2437
543	2901	2432
544	2906	2426
545	2911	2420
546	2916	2415
547	2921	2409
548	2926	2404
549	2931	2398
550	2936	2392
551	2941	2387
552	2946	2381
553	2951	2375
554	2956	2370
555	2961	2365
556	2966	2359
557	2971	2354
558	2976	2348
559	2981	2342
560	2986	2337
561	2991	2331
562	2996	2325
563	3001	2320
564	3007	2315
565	3012	2309
566	3016	2303
567	3022	2298
568	3027	2293
569	3032	2287
570	3037	2282
571	3043	2276
572	3048	2271
573	3053	2266
574	3058	2260
575	3063	2255
576	3069	2250
577	3074	2244
578	3079	2239
579	3085	2233
580	3089	2228
581	3094	2222
582	3099	2217
583	3104	2211
584	3109	2205
585	3114	2200
586	3119	2195
587	3124	2189
588	3129	2183
589	3134	2178
590	3139	2172
591	3144	2167
592	3149	2161
593	3154	2156
594	3159	2150
595	3165	2145
596	3170	2140
597	3175	2134
598	3180	2128
599	3185	2123
600	3190	2118
601	3195	2112
602	3201	2107
603	3206	2102
604	3211	2096
605	3216	2091
606	3222	2086
607	3228	2081
608	3233	2075
609	3238	2070
610	3243	2064
611	3248	2059
612	3253	2054
613	3258	2048
614	3264	2043
615	3268	2037
616	3273	2032
617	3279	2027
618	3284	2021
619	3290	2016
620	3296	2011
621	3301	2006
622	3306	2001
623	3312	1995
624	3317	1990
625	3323	1985
626	3328	1979
627	3333	1974
628	3338	1969
629	3344	1964
630	3349	1958
631	3354	1953
632	3359	1947
633	3364	1942
634	3369	1936
635	3374	1931
636	3379	1926
637	3385	1920
638	3390	1915
639	3395	1909
640	3400	1904
641	3405	1898
642	3410	1893
643	3415	1887
644	3420	1882
645	3425	1876
646	3430	1871
647	3435	1866
648	3440	1860
649	3445	1855
650	3450	1849
651	3456	1844
652	3461	1839
653	3466	1833
654	3471	1828
655	3476	1822
656	3481	1817
657	3486	1812
658	3491	1806
659	3496	1801
660	3502	1796
661	3508	1791
662	3513	1785
663	3518	1780
664	3523	1774
665	3529	1769
666	3534	1764
667	3538	1758
668	3544	1753
669	3549	1748
670	3554	1742
671	3560	1737
672	3565	1732
673	3570	1727
674	3576	1722
675	3582	1716
676	3587	1711
677	3592	1706
678	3597	1700
679	3602	1695
680	3607	1689
681	3612	1684
682	3617	1679
683	3623	1673
684	3628	1668
685	3633	1663
686	3638	1657
687	3643	1652
688	3648	1647
689	3654	1641
690	3659	1636
691	3664	1630
692	3669	1625
693	3674	1620
694	3679	1614
695	3684	1609
696	3689	1604
697	3694	1598
698	3700	1593
699	3706	1588
700	3712	1583
701	3718	1578
702	3724	1573
703	3729	1568
704	3734	1562
705	3740	1557
706	3746	1552
707	3751	1547
708	3757	1542
709	3762	1536
710	3767	1531
711	3773	1526
712	3778	1521
713	3784	1515
714	3789	1510
715	3794	1505
716	3799	1499
717	3804	1494
718	3809	1488
719	3814	1483
720	3820	1478
721	3825	1472
722	3830	1467
723	3835	1462
724	3840	1456
725	3845	1451
726	3850	1445
727	3855	1440
728	3861	1435
729	3866	1430
730	3872	1425
731	3878	1419
732	3884	1414
733	3889	1409
734	3895	1404
735	3901	1399
736	3906	1394
737	3912	1388
738	3917	1383
739	3923	1378
740	3928	1373
741	3934	1367
742	3939	1362
743	3944	1357
744	3950	1352
745	3954	1346
746	3959	1341
747	3965	1335
748	3970	1330
749	3976	1325
750	3981	1320
751	3986	1314
752	3992	1309
753	3997	1304
754	4002	1298
755	4007	1293
756	4012	1288
757	4018	1282
758	4023	1277
759	4028	1272
760	4033	1266
761	4039	1261
762	4043	1256
763	4049	1250
764	4054	1245
765	4059	1240
766	4065	1234
767	4071	1229
768	4076	1224
769	4081	1219
770	4086	1213
771	4091	1208
772	4096	1203
773	4102	1197
774	4107	1192
775	4112	1187
776	4117	1181
777	4122	1176
778	4127	1171
779	4133	1165
780	4138	1160
781	4143	1155
782	4148	1149
783	4153	1144
784	4158	1138
785	4163	1133
786	4168	1128
787	4173	1122
788	4178	1117
789	4183	1112
790	4188	1106
791	4194	1101
792	4198	1096
793	4203	1090
794	4209	1085
795	4215	1080
796	4220	1074
797	4225	1069
798	4230	1064
799	4235	1058
800	4240	1053
801	4246	1048
802	4250	1042
803	4255	1037
804	4260	1032
805	4265	1026
806	4270	1021
807	4275	1015
808	4280	1010
809	4285	1005
810	4290	999
811	4296	994
812	4300	989
813	4305	983
814	4310	978
815	4315	973
816	4321	967
817	4326	962
818	4330	957
819	4336	951
820	4341	946
821	4346	941
822	4352	936
823	4357	930
824	4362	925
825	4368	920
826	4373	914
827	4378	909
828	4384	904
829	4389	899
830	4394	893
831	4399	888
832	4405	883
833	4410	877
834	4415	872
835	4420	867
836	4425	861
837	4430	856
838	4435	851
839	4440	845
840	4445	840
841	4449	835
842	4455	829
843	4460	824
844	4465	819
845	4470	813
846	4476	808
847	4481	803
848	4486	798
849	4492	792
850	4497	787
851	4502	782
852	4508	776
853	4512	771
854	4518	766
855	4523	760
856	4528	755
857	4532	750
858	4537	744
859	4542	739
860	4547	734
861	4552	728
862	4558	723
863	4563	718
864	4568	712
865	4573	707
866	4578	702
867	4583	697
868	4588	691
869	4593	686
870	4598	681
871	4604	675
872	4609	670
873	4614	665
874	4619	659
875	4624	654
876	4629	649
877	4634	644
878	4640	638
879	4645	633
880	4650	628
881	4655	622
882	4660	617
883	4665	612
884	4670	606
885	4675	601
886	4682	596
887	4687	591
888	4692	585
889	4697	580
890	4703	575
891	4709	570
892	4714	564
893	4719	559
894	4725	554
895	4729	549
896	4735	543
897	4740	538
898	4745	533
899	4750	527
900	4754	522
901	4758	516
902	4762	511
903	4766	506
904	4771	500
905	4775	495
906	4779	490
907	4783	484
908	4787	479
909	4791	473
910	4795	468
911	4799	463
912	4803	457
913	4807	452
914	4811	446
915	4815	441
916	4819	436
917	4823	430
918	4827	425
919	4832	420
920	4836	414
921	4840	409
922	4844	404
923	4848	398
924	4852	393
925	4856	388
926	4860	382
927	4864	377
928	4868	372
929	4872	366
930	4876	361
931	4880	356
932	4885	350
933	4889	345
934	4893	340
935	4897	334
936	4901	329
937	4905	324
938	4910	318
939	4914	313
940	4919	308
941	4923	303
942	4927	297
943	4931	292
944	4936	287
945	4940	282
946	4944	276
947	4949	271
948	4953	266
949	4957	260
950	4961	255
951	4965	250
952	4969	245
953	4973	239
954	4977	234
955	4981	229
956	4985	224
957	4989	218
958	4993	213
959	4997	208
960	5001	202
961	5005	197
962	5009	192
963	5013	187
964	5017	181
965	5021	176
966	5025	171
967	5029	166
968	5034	161
969	5037	155
970	5042	150
971	5046	145
972	5050	140
973	5054	134
974	5059	129
975	5063	124
976	5067	119
977	5071	114
978	5075	108
979	5079	103
980	5083	98
981	5088	93
982	5092	88
983	5096	82
984	5101	77
985	5105	72
986	5109	67
987	5113	62
988	5117	56
989	5121	51
990	5125	46
991	5129	41
992	5133	36
993	5137	31
994	5141	25
995	5145	20
996	5149	15
997	5154	10
998	5159	5
999	5162	0
